gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG43293,0.232235496989634,0.941553007244237,0.941553007244237,0.941553007244237,1,1,1,1,1,1,0.552795180186247,1,1,0.547355025243137,1,0.568774475120411
CG43313,0.962557091819188,1,1,0.574459763471453,1,1,1,1,1,1,0.710338479295824,1,1,1,1,1
CG43315,3.17675288356145e-06,1,1,1,1,1,1,0.710338479295824,1,1,1,0.934516925174744,0.9460626423415,1,0.934516925174744,1
CG4332,0.94639848317481,1,1,1,1,1,1,1,1,1,0.413106203372296,1,1,1,0.778267107891793,1
CG43320,0.885486890624928,1,1,1,1,1,1,1,0.867488522756189,1,0.710338479295824,1,1,0.994005375353588,1,1
CG43321,0.0130550194194307,1,1,1,0.310581621189387,1,1,1,1,1,0.657173572014958,1,1,1,0.81751559096099,1
CG43322,0.000315360379788401,1,1,5.16697100268958e-05,0.985825281235697,1,0.844738319456434,1,0.61516515309447,0.534934998165955,0.0183637023601861,1,0.626556704206547,0.545188439691487,0.666084937511401,0.841433332339299
CG43325,1,0.809442331679907,1,1,0.96847752295874,1,0.399111420043539,1,0.93841156574963,1,1,1,1,0.710338479295824,1,1
CG43328,0.000148543543949669,1,1,1,0.00672592953723991,1,1,1,1,0.448020086952823,1,1,1,1,1,0.636579774330889
CG43331,7.20232982109273e-06,1,1,1,0.634794212652228,1,1,1,0.885422251581789,0.885422251581789,0.209215287496888,1,0.0383870800616824,0.980347337229583,0.987649616468127,0.539284682065198
CG43333,1,1,1,1,0.233474368145125,1,1,1,1,1,1,1,0.959755319564786,1,1,1
CG43338,0.000154454875973383,1,1,1,1,1,1,1,0.997665205700184,1,1,1,1,1,1,0.958420418004338
CG43366,0.0557076843280466,1,1,1,0.389897542775376,1,0.754770304759086,1,1,1,1,1,1,0.924497185236895,1,0.997478556540277
CG43367,0.923428507876762,1,1,0.872667461419418,1,1,1,1,1,1,1,1,1,1,1,1
