Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
agt,CG18131,CG30033,Ask1,Arpc1,aqrs,CG3062,CG16782,CG15710,CG33483,CG31819,CG10467,CG16771,CG15116,aph-1,CG10321,CG17005,CG34259,CG33475,CG31869,CG30090,CG15368,CG14052,CG14069,CG14609,ATPsynG,CG33626,CG15564,CG15084,CG15212,CG13557,CG14806
Ahcy,CG18284,CG30039,asrij,Arpc5,Archease,CG31097,CG16815,CG15742,CG33557,CG32241,CG10494,CG17233,CG15330,Aprt,CG10345,CG17544,CG34323,CG33483,CG32241,CG30105,CG15390,CG14069,CG1421,CG14668,ATPsyngamma,CG33757,CG15772,CG15107,CG15283,CG1360,CG14893
AhcyL1,CG18675,CG30065,Atg2,arr,Arf51F,CG31226,CG1690,CG15756,CG33773,CG32277,CG10561,CG17386,CG15387,aqrs,CG10459,CG18130,CG34448,CG33557,CG32269,CG30287,CG15414,CG14187,CG14246,CG14780,ATPsynGL,CG33772,CG15908,CG15124,CG15368,CG13658,CG15160
AhcyL2,CG30039,CG30090,Atg3,Arr1,Arf79F,CG31644,CG17147,CG15876,CG33786,CG33786,CG10576,CG17572,CG15564,aralar1,CG10469,CG18131,CG4009,CG33626,CG32461,CG30323,CG15478,CG14253,CG1428,CG14787,AttD,CG34220,CG1628,CG15136,CG15432,CG13868,CG15168
AIMP1,CG30065,CG30385,Atg8b,Art2,ArfGAP3,CG31659,CG17544,CG1690,CG34049,CG33919,CG10621,CG17737,CG16941,Archease,CG10494,CG18417,CG42367,CG33773,CG32563,CG30338,CG15536,CG14275,CG14410,CG15116,aurB,CG34312,CG1665,CG15160,CG1550,CG14007,CG15169
AIMP3,CG3062,CG31097,Atg9,ase,arg,CG31819,CG18284,CG17147,CG34193,CG34130,CG10650,CG17919,CG17266,ArfGAP3,CG10565,CG18605,CG42789,CG33798,CG33333,CG30429,CG15564,CG14300,CG14591,CG15124,awd,CG3598,CG17266,CG15200,CG15615,CG14052,CG15185
Ak6,CG31097,CG31226,ATPCL,AsnRS,armi,CG31974,CG18301,CG17343,CG34224,CG34172,CG10761,CG17985,CG17343,armi,CG10700,CG18735,CG43244,CG34201,CG3345,CG3062,CG15629,CG14317,CG14760,CG15141,babos,CG3650,CG17343,CG15262,CG15865,CG14317,CG15212
Akap200,CG31122,CG31473,ATPsynF,asrij,Arp2,CG32241,CG18417,CG17648,CG34298,CG34224,CG10799,CG18155,CG1738,Arp2,CG10761,CG1999,CG43780,CG34217,CG33475,CG31028,CG15701,CG14483,CG14892,CG15252,baf,CG4116,CG17572,CG15283,CG16713,CG14483,CG15233
AkhR,CG31131,CG31542,ATPsynG,ast,Arpc1,CG32563,CG18675,CG17681,CG34433,CG34259,CG10801,CG18231,CG17385,Arpc1,CG10764,CG2663,CG43781,CG34312,CG33483,CG31097,CG15735,CG14528,CG15082,CG15262,ball,CG43153,CG17834,CG15293,CG1690,CG14568,CG15283
akirin,CG31226,CG31659,ATPsyngamma,Atet,Arpc4,CG32572,CG18735,CG17732,CG34448,CG34447,CG10834,CG1827,CG17660,Arpc4,CG10802,CG30080,CG44405,CG34433,CG33927,CG31191,CG1638,CG14806,CG15084,CG15330,bam,CG43376,CG17919,CG15296,CG17078,CG14591,CG15368
al,CG31644,CG31735,AttC,Atg3,Arpc5,CG32679,CG2854,CG17821,CG4045,CG34448,CG10853,CG18284,CG1902,Arpc5,CG10834,CG30265,CG4793,CG34447,CG34051,CG31226,CG16713,CG14903,CG15107,CG15356,Bap111,CG44329,CG18171,CG15330,CG17283,CG14806,CG15425
AlaRS,CG31659,CG31819,aust,Atg7,Asciz,CG33927,CG30039,CG18131,CG4151,CG42264,CG10863,CG1902,CG2004,arr,CG10904,CG30429,CG5084,CG34448,CG34172,CG31235,CG16771,CG15116,CG15116,CG15398,Bap60,CG4716,CG18258,CG1537,CG17333,CG14893,CG1550
AlaRS-m,CG31735,CG31909,awd,Atg8b,AsnRS,CG34224,CG30080,CG18234,CG42264,CG42367,CG10916,CG2046,CG2046,ash1,CG1092,CG31226,CG5498,CG3713,CG34201,CG31357,CG1690,CG15120,CG15170,CG15425,BBS1,CG4847,CG18301,CG15526,CG17493,CG15153,CG15526
Alas,CG31741,CG32199,b,Atg9,AsnRS-m,CG34298,CG30265,CG18605,CG42371,CG42789,CG10933,CG2767,CG2162,Ask1,CG10920,CG31287,CG5928,CG4045,CG34259,CG31974,CG17147,CG15153,CG15283,CG15514,bcd,CG4955,CG18568,CG15539,CG18171,CG15172,CG15533
alc,CG31803,CG32241,babos,atk,asrij,CG34433,CG30429,CG1999,CG42789,CG43244,CG11037,CG2909,CG2574,AsnRS,CG10924,CG32269,CG6271,CG42264,CG34447,CG32563,CG17260,CG15172,CG15497,CG15572,BCL7-like,CG5267,CG18869,CG15564,CG18231,CG15252,CG15547
Ald,CG31813,CG32376,baf,ATPsynCF6L,AstA-R2,CG34448,CG31287,CG2053,CG43134,CG43328,CG11044,CG30039,CG2678,ASPP,CG10932,CG32459,CG6984,CG42789,CG34448,CG32645,CG17919,CG15185,CG15526,CG15578,bdg,CG6347,CG1999,CG1561,CG18284,CG15296,CG15628
Aldh,CG31974,CG32459,BBS1,ATPsynF,AstC-R1,CG3669,CG31644,CG2574,CG43244,CG4592,CG11077,CG30046,CG2698,AspRS,CG10934,CG32461,CG8629,CG43134,CG3526,CG32681,CG17996,CG15368,CG15539,CG1561,BEAF-32,CG6415,CG2100,CG15764,CG18301,CG15330,CG15861
Aldh-III,CG32376,CG32461,bdg,ATPsynG,AstCC,CG42367,CG31803,CG2663,CG43668,CG5498,CG11137,CG30054,CG2921,asrij,CG11037,CG3251,CG9287,CG43244,CG3713,CG32801,CG18171,CG15465,CG15549,CG15615,beat-IIIb,CG6472,CG2909,CG1603,CG18735,CG15368,CG15905
Alg-2,CG32563,CG32563,Bet5,ATPsyngamma,Atac3,CG42371,CG31974,CG2887,CG43780,CG6271,CG11149,CG30338,CG2974,ast,CG11044,CG32563,CG9997,CG43366,CG42264,CG33465,CG18231,CG15529,CG15564,CG15764,beta-Spec,CG6984,CG30046,CG16741,CG2909,CG15425,CG16741
